cod_tienda,sales_surface_sqmeters,ventas_valor_per_store,Channel,revenue_per_sqmeter,cluster_labels,cluster_id
243,1500,376962.96,Supermarkets,251.30864,cluster_1,1
38,600,283402.85,Supermarkets,472.3380833333,cluster_1,1
30,400,217143.08,Supermarkets,542.8577,cluster_1,1
101,1100,354598.14,Supermarkets,322.3619454545,cluster_1,1
113,600,191223.41,Supermarkets,318.7056833333,cluster_1,1
241,3000,261484.17,Hipermarkets,87.16139,cluster_1,1
214,900,193866.98,Supermarkets,215.4077555556,cluster_1,1
267,3000,240575.73,Hipermarkets,80.19191,cluster_1,1
59,1600,557306.07,Supermarkets,348.31629375,cluster_1,1
72,900,579460.77,Supermarkets,643.8453,cluster_1,1
283,200,106258.52,Supermarkets,531.2926,cluster_1,1
172,300,243115.92,Supermarkets,810.3864,cluster_1,1
68,300,40450.64,Supermarkets,134.8354666667,cluster_1,1
126,800,267568.64,Supermarkets,334.4608,cluster_1,1
277,5000,995666.48,Hipermarkets,199.133296,cluster_1,1
236,1000,160838.54,Supermarkets,160.83854,cluster_1,1
183,1800,395627.89,Supermarkets,219.7932722222,cluster_1,1
143,400,197310.83,Supermarkets,493.277075,cluster_1,1
139,300,125588.93,Supermarkets,418.6297666667,cluster_1,1
97,500,226656.08,Supermarkets,453.31216,cluster_1,1
96,2800,1151526.71,Hipermarkets,411.2595392857,cluster_1,1
271,1300,551762.84,Supermarkets,424.4329538462,cluster_1,1
253,1700,384546.03,Supermarkets,226.2035470588,cluster_1,1
227,800,182596.3,Supermarkets,228.245375,cluster_1,1
157,600,21750.04,Supermarkets,36.2500666667,cluster_1,1
147,400,20012.99,Supermarkets,50.032475,cluster_1,1
111,200,31283.38,Supermarkets,156.4169,cluster_1,1
80,600,19782.83,Supermarkets,32.9713833333,cluster_1,1
8,800,70887.05,Supermarkets,88.6088125,cluster_1,1
32,400,72229.12,Supermarkets,180.5728,cluster_1,1
249,400,126182.53,Supermarkets,315.456325,cluster_1,1
51,600,113046.99,Supermarkets,188.41165,cluster_1,1
6,200,27570.64,Supermarkets,137.8532,cluster_1,1
265,200,108028.05,Supermarkets,540.14025,cluster_1,1
174,100,113902.82,Supermarkets,1139.0282,cluster_1,1
52,200,32802.03,Supermarkets,164.01015,cluster_1,1
3,1200,174172.84,Supermarkets,145.1440333333,cluster_1,1
189,300,267844.38,Supermarkets,892.8146,cluster_1,1
185,1100,362586.51,Supermarkets,329.6241,cluster_1,1
56,700,190277.6,Supermarkets,271.8251428571,cluster_1,1
133,700,211787.09,Supermarkets,302.5529857143,cluster_1,1
31,700,168902.46,Supermarkets,241.2892285714,cluster_1,1
223,1600,196738.8,Supermarkets,122.96175,cluster_1,1
