cod_tienda,ventas_valor_per_store,Channel,revenue_per_sqmeter,Provincia_x,Sectors,Provincia_y,Income,cluster_labels,cluster_id
1,24415.94,Supermarkets,48.83188,Almeria,Primary Sector,Almeria,9709,Suburban Stores,0
2,8.52,Supermarkets,0.01704,Area Metropolitana de Madrid,Metropolis,Madrid,15579,Smaller Metropolis,5
3,174172.84,Supermarkets,145.1440333333,Cantabria,Industrial,Cantabria,12865,Traditional Store,3
4,629539.99,Supermarkets,286.1545409091,Vizcaya,Industrial,Vizcaya,15555,The Socials,1
5,151578.07,Supermarkets,168.4200777778,Castellon,Primary Sector,Castellon,12079,Slow stores,4
6,27570.64,Supermarkets,137.8532,Valladolid,Industrial,Valladolid,13490,Traditional Store,3
7,20017.8,Supermarkets,40.0356,Asturias,Industrial,Asturias,13505,Traditional Store,3
8,70887.05,Supermarkets,88.6088125,Navarra,Primary Sector,Navarra,14718,Slow stores,4
9,152622.43,Supermarkets,190.7780375,Tarragona,Primary Sector,Tarragona,12491,Slow stores,4
10,26.8,Hipermarkets,0.0078823529,Leon,Primary Sector,Leon,12917,Slow stores,4
11,3423.8,Supermarkets,17.119,Asturias,Industrial,Asturias,13505,Traditional Store,3
12,488871.16,Supermarkets,444.4283272727,Area Metropolitana de Madrid,Metropolis,Madrid,15579,The Socials,1
13,91431.52,Supermarkets,457.1576,Baleares,touristic,Baleares,12486,For the tourists,2
14,126949.28,Supermarkets,253.89856,Asturias,Industrial,Asturias,13505,Traditional Store,3
15,214584.37,Supermarkets,134.11523125,Area Metropolitana de Madrid,Metropolis,Madrid,15579,Smaller Metropolis,5
16,2693721.28,Hipermarkets,251.7496523364,Tarragona,Primary Sector,Tarragona,12491,Slow stores,4
17,281496.33,Supermarkets,216.5356384615,Sevilla,Industrial,Sevilla,10717,Suburban Stores,0
18,58055.39,Supermarkets,290.27695,Tarragona,Primary Sector,Tarragona,12491,Slow stores,4
19,850665.51,Supermarkets,447.7186894737,Area Metropolitana de Madrid,Metropolis,Madrid,15579,The Socials,1
20,30362.7,Supermarkets,303.627,Murcia,Industrial,Murcia,10574,For the tourists,2
21,602091.84,Hipermarkets,51.9044689655,Malaga,touristic,Malaga,10261,Suburban Stores,0
22,8170.36,Supermarkets,40.8518,Area Metropolitana de Barcelona,Metropolis,Barcelona,14676,Smaller Metropolis,5
23,249765.5,Hipermarkets,83.2551666667,Barcelona,Metropolis,Barcelona,14676,Smaller Metropolis,5
24,2988480.06,Hipermarkets,249.040005,Navarra,Primary Sector,Navarra,14718,Slow stores,4
25,26433.79,Supermarkets,88.1126333333,Area Metropolitana de Barcelona,Metropolis,Barcelona,14676,Smaller Metropolis,5
26,189762.7,Supermarkets,237.203375,Almeria,Primary Sector,Almeria,9709,Suburban Stores,0
27,13.3,Supermarkets,0.0266,Sevilla,Industrial,Sevilla,10717,Suburban Stores,0
29,533581.73,Supermarkets,222.3257208333,Area Metropolitana de Madrid,Metropolis,Madrid,15579,Smaller Metropolis,5
30,217143.08,Supermarkets,542.8577,Granada,Industrial,Granada,10463,For the tourists,2
31,168902.46,Supermarkets,241.2892285714,Burgos,Primary Sector,Burgos,13777,Slow stores,4
32,72229.12,Supermarkets,180.5728,Area Metropolitana de Barcelona,Metropolis,Barcelona,14676,Smaller Metropolis,5
33,39.6,Supermarkets,0.132,Cadiz,Industrial,Cadiz,10113,Suburban Stores,0
35,2540930.33,Hipermarkets,256.6596292929,Badajoz,Industrial,Badajoz,10001,Suburban Stores,0
